text,risk_label,risk_label_name,risk_category,severity,action_taken,language,source_type,record_id,text_clean,text_hash,group_id,cv_fold,split
the movie describes the test results and the conclusion is reasonable. based on what i saw,0,No-Detected-Risk,non_risk,none,no_intervention,English,keyboard_message,SENDWISE-00001,the movie describes the test results and the conclusion is reasonable based on what i saw,14fc1dcd390c397ef188f4a8fe5317863df0ba772e4c1208de7d20c08ba28ee0,14fc1dcd390c,1,train
"from my side, the new release examines the configuration steps but the examples could be stronger. after trying it",0,No-Detected-Risk,non_risk,none,no_intervention,English,short_message,SENDWISE-00002,from my side the new release examines the configuration steps but the examples could be stronger after trying it,004b1e020e061b3370496b2b33eda8df9f3fd047509cd0cb2c9233616066593d,004b1e020e06,1,train
"from my side, the interface demonstrates the final section although a few parts need clarification. based on what i saw",0,No-Detected-Risk,non_risk,none,no_intervention,English,youtube_reply,SENDWISE-00003,from my side the interface demonstrates the final section although a few parts need clarification based on what i saw,330cce21ef7d8942a9e1045086e85210c2fbf42f0019e770b7db5484cf00f467,330cce21ef7d,5,train
"personally, i tried the feature; the part about the last example was the most useful.",0,No-Detected-Risk,non_risk,none,no_intervention,Hinglish,youtube_reply,SENDWISE-00004,personally i tried the feature the part about the last example was the most useful,54e30e09b4f0fd106f187c890a7343dd7f36e4a20c17f9c88f6a13b7209e8873,54e30e09b4f0,3,train
the report discusses the previous version with enough detail. from my experience,0,No-Detected-Risk,non_risk,none,no_intervention,English,short_message,SENDWISE-00005,the report discusses the previous version with enough detail from my experience,68bfbb6a655b911f6030279e92d7dc79f7b01be44f0955a02b0c2590f7c5455d,68bfbb6a655b,1,train
"personally, i went through the report; the part about the practical limitations was the most useful. in my opinion",0,No-Detected-Risk,non_risk,none,no_intervention,English,social_media_comment,SENDWISE-00006,personally i went through the report the part about the practical limitations was the most useful in my opinion,18cb854d2a445b2183fe774bc05a30a86bbde170f7889d1ffea0a6a27f03098d,18cb854d2a44,4,train
"honestly, i checked the examples; the part about the final section was the most useful.",0,No-Detected-Risk,non_risk,none,no_intervention,English,youtube_reply,SENDWISE-00007,honestly i checked the examples the part about the final section was the most useful,97edc244fab2d1f96a67ed4eb4417357b5720470a3e0fc097b69e465346c9795,97edc244fab2,1,train
i looked at the screenshots; the part about the underlying assumptions was the most useful. after trying it,0,No-Detected-Risk,non_risk,none,no_intervention,English,chat_message,SENDWISE-00008,i looked at the screenshots the part about the underlying assumptions was the most useful after trying it,7b5621cb6e88a3456fb847f7df1aa5b38001b8e02b8e37aed2665ecb3b65a82d,7b5621cb6e88,4,train
"from my side, has anyone checked whether the user interface changes when the input data is different? after trying it",0,No-Detected-Risk,non_risk,none,no_intervention,English,keyboard_message,SENDWISE-00009,from my side has anyone checked whether the user interface changes when the input data is different after trying it,7ba8081a2a0c390a1a264ea579f512a602b2f722b7e2754cab7820804262136c,7ba8081a2a0c,5,train
"honestly, i disagree with the conclusion, but i think the author makes a fair point about the user interface. for my use case",0,No-Detected-Risk,non_risk,none,no_intervention,English,chat_message,SENDWISE-00010,honestly i disagree with the conclusion but i think the author makes a fair point about the user interface for my use case,12ae06530164b4c03d7efe5dcfc0c624651c4831cfa3f4f0624e4e10ea3ac0ff,12ae06530164,1,train
"honestly, the thread introduces the practical limitations although a few parts need clarification. after trying it",0,No-Detected-Risk,non_risk,none,no_intervention,English,social_media_comment,SENDWISE-00011,honestly the thread introduces the practical limitations although a few parts need clarification after trying it,52f40b40aa12268bceae7a90899682328f8df59662ded4bf86feaa7465f7f575,52f40b40aa12,3,train
i prefer the previous version because the pricing model was easier to understand there. from my experience,0,No-Detected-Risk,non_risk,none,no_intervention,English,youtube_reply,SENDWISE-00012,i prefer the previous version because the pricing model was easier to understand there from my experience,5d919ad3acbbf38348d39d002e53a00910d37cf09d887b56eff208dcabe111dc,5d919ad3acbb,2,train
"from my side, the movie explains the configuration steps after a little bit of context.",0,No-Detected-Risk,non_risk,none,no_intervention,English,keyboard_message,SENDWISE-00013,from my side the movie explains the configuration steps after a little bit of context,b6d93cfd82a72571c521bfdf42927266ccdb11c1badd522f822f9cf0996eacaf,b6d93cfd82a7,1,train
the post explains the methodology quite clearly.,0,No-Detected-Risk,non_risk,none,no_intervention,English,youtube_comment,SENDWISE-00014,the post explains the methodology quite clearly,7621633166899e4c418c81e7fe3bb41bf3f0619e9851a88bd41487479d662d0f,762163316689,3,train
"personally, the demo reviews the configuration steps but the examples could be stronger. for my use case",0,No-Detected-Risk,non_risk,none,no_intervention,English,youtube_reply,SENDWISE-00015,personally the demo reviews the configuration steps but the examples could be stronger for my use case,5365c88547e52526cc4aab3c837733ed36e66c1c1a40a3e0120de0c1f527602f,5365c88547e5,3,train
"honestly, i watched the demonstration; the part about the configuration steps was the most useful. for my use case",0,No-Detected-Risk,non_risk,none,no_intervention,English,forum_reply,SENDWISE-00016,honestly i watched the demonstration the part about the configuration steps was the most useful for my use case,186f2fb9e04012af36d58fce325d511915920df6054157d66a183e1346c1d2fc,186f2fb9e040,5,train
people from that community are always causing trouble lol!!!,1,Risk-Detected,hate_speech,medium,edited,English,chat_message,SENDWISE-00017,people from that community are always causing trouble lol,f6c7ed0b82db84758c4849318a26c560ce94e6769e0d128266c0ab7560947a85,f6c7ed0b82db,2,train
"from my side, i checked the numbers; the part about the design choices was the most useful. based on what i saw",0,No-Detected-Risk,non_risk,none,no_intervention,English,youtube_reply,SENDWISE-00018,from my side i checked the numbers the part about the design choices was the most useful based on what i saw,11b894d6f02828d6cc2646ffa731521e7d10afd7356ecf410d4853810d9d75ea,11b894d6f028,1,train
everything feels pointless right now,1,Risk-Detected,self_harm_risk,medium,edited,English,youtube_comment,SENDWISE-00019,everything feels pointless right now,03c42b6efba364b0bda2dd351ca3f55e3554c630c672c674d1c4798e19e55cb7,03c42b6efba3,3,train
"personally, the interface explains the user interface but the examples could be stronger.",0,No-Detected-Risk,non_risk,none,no_intervention,English,youtube_comment,SENDWISE-00020,personally the interface explains the user interface but the examples could be stronger,2fb68e4cecf8eabbf144f026615164921daee980049cdc28252faf690e25ec3d,2fb68e4cecf8,5,train
i watched the demonstration; the part about the practical limitations was the most useful. honestly,0,No-Detected-Risk,non_risk,none,no_intervention,English,keyboard_message,SENDWISE-00021,i watched the demonstration the part about the practical limitations was the most useful honestly,9d32ab258e9baa04fdcb48b0eaa640b4a6ae7a055d1dd9759c7b6adfa0d3ef9c,9d32ab258e9b,2,train
the app introduces the configuration steps but the examples could be stronger.,0,No-Detected-Risk,non_risk,none,no_intervention,English,short_message,SENDWISE-00022,the app introduces the configuration steps but the examples could be stronger,455f9ece64908be2695cf476e5600aef1026989ccb2cfa5e891ba0376adafc3d,455f9ece6490,2,train
you keep sending abusive messages after being blocked take your garbage somewhere else,1,Risk-Detected,harassment,medium,sent_unchanged,English,youtube_comment,SENDWISE-00023,you keep sending abusive messages after being blocked take your garbage somewhere else,4ccdebaeb7b8ae69e2b061e0939a867e3f8a31e64f4509d4e62d4a6214172001,4ccdebaeb7b8,5,train
i watched the whole thing; the part about the underlying assumptions was the most useful. for my use case,0,No-Detected-Risk,non_risk,none,no_intervention,English,forum_reply,SENDWISE-00024,i watched the whole thing the part about the underlying assumptions was the most useful for my use case,42e903ce32876be0fa4541240065ad8bdac0b400d4dea8e0cf47890d4ee92385,42e903ce3287,2,train
people can criticize the article without turning the discussion into a personal attack. for my use case,0,No-Detected-Risk,non_risk,none,no_intervention,Hinglish,youtube_reply,SENDWISE-00025,people can criticize the article without turning the discussion into a personal attack for my use case,f62715a8f705104231c2d3f6284cfe530a73b1677d3c91010cda0b9e9db0da26,f62715a8f705,2,train
i tried the feature; the part about the user interface was the most useful.,0,No-Detected-Risk,non_risk,none,no_intervention,Hinglish,forum_reply,SENDWISE-00026,i tried the feature the part about the user interface was the most useful,a368149a52c7d191b3f1e16426fadf40c313c7f88cd27849dfedf33227516ee0,a368149a52c7,1,train
"personally, the post describes the methodology after a little bit of context. in my opinion",0,No-Detected-Risk,non_risk,none,no_intervention,English,youtube_reply,SENDWISE-00027,personally the post describes the methodology after a little bit of context in my opinion,3692f14dbf7515c2f462a1e8073dbbd53dd2e6fcc9b681d940c526ff17e21582,3692f14dbf75,5,train
"from my side, i followed the tutorial; the part about the installation process was the most useful. for my use case",0,No-Detected-Risk,non_risk,none,no_intervention,Hinglish,youtube_comment,SENDWISE-00028,from my side i followed the tutorial the part about the installation process was the most useful for my use case,8d5bfec8463265166d4fd361146ec4c73723d76a3312d3c5dbd3096034b6457d,8d5bfec84632,2,train
"honestly, i came here for the update and ended up learning more from the replies. honestly",0,No-Detected-Risk,non_risk,none,no_intervention,English,social_media_comment,SENDWISE-00029,honestly i came here for the update and ended up learning more from the replies honestly,8881523a426c10069670ad541ac70775b63da8aaa387c485b0e93004069c7e55,8881523a426c,5,train
i checked the examples; the part about the comparison with older tools was the most useful. in my opinion,0,No-Detected-Risk,non_risk,none,no_intervention,English,social_media_comment,SENDWISE-00030,i checked the examples the part about the comparison with older tools was the most useful in my opinion,cecf49700eea401ed1e4f04c7318d6a1dd6171ddd01ca684280396d645d250c4,cecf49700eea,2,train
has anyone checked whether the main idea changes when the input data is different? for my use case,0,No-Detected-Risk,non_risk,none,no_intervention,Hinglish,short_message,SENDWISE-00031,has anyone checked whether the main idea changes when the input data is different for my use case,5abc577701081b3433c8965a9418b7dc786a44f9941f99036fd0e0dc710b8479,5abc57770108,1,train
"from my side, the movie explains the methodology better than i expected. based on what i saw",0,No-Detected-Risk,non_risk,none,no_intervention,English,forum_reply,SENDWISE-00032,from my side the movie explains the methodology better than i expected based on what i saw,18ab1b0638ae758db100af4a9163656313c5756ac01649dbdbde89fe6faa020f,18ab1b0638ae,4,train
"personally, the main issue is the test results; everything else looks reasonably well presented. in my opinion",0,No-Detected-Risk,non_risk,none,no_intervention,Hinglish,short_message,SENDWISE-00033,personally the main issue is the test results everything else looks reasonably well presented in my opinion,d9ef9a40c67f6988fd38d1262e3abcb0823cda5d13a12560a66dc931d73b9bbf,d9ef9a40c67f,4,train
"personally, the comparison covers the underlying assumptions in a way that is easy to follow. in my opinion",0,No-Detected-Risk,non_risk,none,no_intervention,English,forum_reply,SENDWISE-00034,personally the comparison covers the underlying assumptions in a way that is easy to follow in my opinion,8d7cdfd441bcfa6b42061bf0ef3bf150b1b66f7c7cbfa81d06fb61199554d199,8d7cdfd441bc,5,train
"honestly, i tested it on my phone; the part about the design choices was the most useful. for my use case",0,No-Detected-Risk,non_risk,none,no_intervention,English,chat_message,SENDWISE-00035,honestly i tested it on my phone the part about the design choices was the most useful for my use case,690ac559bce53da8f102e02ffe913fe5d87071d5e86f7b7937fb338f8bd59c5e,690ac559bce5,3,train
the post tests the user interface without making the discussion too complicated.,0,No-Detected-Risk,non_risk,none,no_intervention,English,social_media_comment,SENDWISE-00036,the post tests the user interface without making the discussion too complicated,92da4cc591f95b6251a4922f699cfa074430771b1fd0f8846d766e6a7064be01,92da4cc591f9,1,train
the demo illustrates the previous version with enough detail.,0,No-Detected-Risk,non_risk,none,no_intervention,English,keyboard_message,SENDWISE-00037,the demo illustrates the previous version with enough detail,6c1c9b974997e847099ab945ba3cc02e3c10efb0756ed7a4cc89321efa24bf50,6c1c9b974997,2,train
"personally, the main issue is the main idea; everything else looks reasonably well presented. after trying it",0,No-Detected-Risk,non_risk,none,no_intervention,Hinglish,youtube_comment,SENDWISE-00038,personally the main issue is the main idea everything else looks reasonably well presented after trying it,2f29575b9f70940917b25e8781a58affb603dc446f263819a3534f77e2ad6a80,2f29575b9f70,3,train
"honestly, the product summarizes the installation process with enough detail. for my use case",0,No-Detected-Risk,non_risk,none,no_intervention,English,youtube_comment,SENDWISE-00039,honestly the product summarizes the installation process with enough detail for my use case,23cd01ce1875d2c398fdf76baa7189220600a4634f073d3af69ec721134706aa,23cd01ce1875,4,train
"from my side, the dataset tests the final section and the conclusion is reasonable. for my use case",0,No-Detected-Risk,non_risk,none,no_intervention,English,chat_message,SENDWISE-00040,from my side the dataset tests the final section and the conclusion is reasonable for my use case,630cc98ff628140a4c80c6342947d7c74a4bef2c5746502038efaa1eb4876f5d,630cc98ff628,4,train
